epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,88.2077,0.11238,1,1,0.00017,0.000547949,0.000547949,0.000547949
2,177.392,6e-05,1,1,4e-05,0.00110062,0.00110062,0.00110062
3,287.105,3e-05,1,1,2e-05,0.00164133,0.00164133,0.00164133
4,366.221,2e-05,1,1,1e-05,0.00162661,0.00162661,0.00162661
5,466.289,1e-05,1,1,1e-05,0.00159566,0.00159566,0.00159566
6,545.848,1e-05,1,1,1e-05,0.00155645,0.00155645,0.00155645
7,637.654,1e-05,1,1,0,0.00150941,0.00150941,0.00150941
8,714.299,1e-05,1,1,0,0.00145505,0.00145505,0.00145505
9,808.093,0,1,1,0,0.00139398,0.00139398,0.00139398
10,884.509,0,1,1,0,0.00132685,0.00132685,0.00132685
11,983.334,0,1,1,0,0.00125442,0.00125442,0.00125442
