epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,15.7967,0.2904,0.9975,1,0.01324,0.00025005,0.00025005,0.00025005
2,26.2649,0.0191,1,1,0.00011,0.000515369,0.000515369,0.000515369
3,38.6183,0.00647,1,1,0.00031,0.000775015,0.000775015,0.000775015
4,51.4734,0.01448,1,1,6e-05,0.00102477,0.00102477,0.00102477
5,64.2507,0.0162,1,1,0.00102,0.00126057,0.00126057,0.00126057
6,78.3187,0.02687,0.765,1,1.33594,0.00147863,0.00147863,0.00147863
7,91.6108,0.04803,0.9,1,0.53174,0.00150941,0.00150941,0.00150941
8,105.544,0.03387,0.995,1,0.00999,0.00145505,0.00145505,0.00145505
9,118.246,0.0256,1,1,0.00144,0.00139398,0.00139398,0.00139398
10,131.152,0.02759,1,1,0.00212,0.00132685,0.00132685,0.00132685
11,144.176,0.01334,1,1,0.00022,0.00125442,0.00125442,0.00125442
12,157.344,0.0241,0.9975,1,0.00389,0.00117746,0.00117746,0.00117746
